number,date,title,location,topic,all instruments,main instrument,other instruments,mood,beard,genre,all styles,main style,other styles,noun,proper noun,length,inKey,tempo,videoID,layerorder,yearmonth,yearweek,datetimemonth,mood_sorted,score,location_grp,mood score
1499,07.02.2013,Flossing MISSING,Park Slope,Life,Vocals,Vocals,,Silly,Shadow,Acapella,"Personal, Funny",Personal,Funny,Flossing,,104,Bb,80,https://www.youtube.com/watch?v=Yb5-Aw98Gow,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-05,01.02.2013,11. Silly,1,NYC,1
1500,08.02.2013,Non-Existent Cat,Brooklyn Studio,Poetic,"Samples, Electric Guitar",Samples,Electric Guitar,Intense,Shadow,Electro,"Dreamy, Wistful, Driving, Good",Dreamy,"Wistful, Driving, Good",Cats,,148,F,80,https://www.youtube.com/watch?v=D53oeZ3UFRI,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-05,01.02.2013,07. Intense,,Brooklyn Studio,
1501,09.02.2013,George W. Bush's Self Portraits,Bushwick,Politics,Baritone Ukulele,Baritone Ukulele,,Chill,Clean,Folk,"Rough, Narrative",Rough,Narrative,,George W. Bush,62,Dm,102,https://www.youtube.com/watch?v=4wHlxV3sw48,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-05,01.02.2013,09. Chill,,NYC,
1502,10.02.2013,Go Easy on Yourself,Bushwick,Poetic,Baritone Ukulele,Baritone Ukulele,,Pleading,Shadow,Folk,"Wistful, Soulful",Wistful,Soulful,,,130,D,80,https://www.youtube.com/watch?v=AwIpmIdDkR0,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-06,01.02.2013,08. Pleading,,NYC,
1503,11.02.2013,"Gone, Gone",Brooklyn Studio,Poetic,"Acoustic Guitar, Bass, Percussion, Drums",Acoustic Guitar,"Bass, Percussion, Drums",Intense,Clean,Blues,"Soulful, Dreamy, Heavy",Soulful,"Dreamy, Heavy",,,128,Dm,90,https://www.youtube.com/watch?v=nIDAzic9Scc,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-06,01.02.2013,07. Intense,,Brooklyn Studio,
1504,12.02.2013,"I Can, Oh",Bushwick,Poetic,Baritone Ukulele,Baritone Ukulele,,Chill,Shadow,Folk,"Wistful, Rambling",Wistful,Rambling,,,139,G,115,https://www.youtube.com/watch?v=SfEzHuXhQs0,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-06,01.02.2013,09. Chill,,NYC,
1505,13.02.2013,Social Regulation of the Neural Response to Threat,Bushwick,Science,Baritone Ukulele,Baritone Ukulele,,Silly,Shadow,Folk,Fun,Fun,,Scientific Paper,Greg Thompson Made The Video,194,E,120,https://www.youtube.com/watch?v=jF0SwMX4r1s,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-06,01.02.2013,11. Silly,1,NYC,1
1506,14.02.2013,Greg Thompson,Brooklyn Studio,Friend,"Acoustic Guitar, Bass, Percussion, Drums",Acoustic Guitar,"Bass, Percussion, Drums",Silly,Shadow,Rock,"Fun, Funny, Catchy, Soulful",Fun,"Funny, Catchy, Soulful",,Greg Thompson Made The Video,64,C,100,https://www.youtube.com/watch?v=_PNTUiNP7Hk,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-06,01.02.2013,11. Silly,1,Brooklyn Studio,1
1507,15.02.2013,I Love Yous Thomas Hughes,"Wilmington, DE",Friend,Baritone Ukulele,Baritone Ukulele,,Silly,Shadow,Folk,Fun,Fun,,Birthday,,106,A,100,https://www.youtube.com/watch?v=7LaNyftEJ78,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-06,01.02.2013,11. Silly,1,Friend's Place,1
1508,16.02.2013,"King of Go for Pro, Yo",Pennsylvania,Go For Pro,Baritone Ukulele,Baritone Ukulele,,Silly,Shadow,Folk,Anthem,Anthem,,Video Games,,105,D,82,https://www.youtube.com/watch?v=JcmR9ygBThQ,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-06,01.02.2013,11. Silly,1,On The Job,1
1509,17.02.2013,Hidey Hidey Go for Pro!,Pennsylvania,Go For Pro,Baritone Ukulele,Baritone Ukulele,,Silly,Shadow,Folk,"Anthem, Fun",Anthem,Fun,Friend,"Brian Langan, Pat Finnerty",475,Em,97,https://www.youtube.com/watch?v=2BbNYmnYlOQ,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-07,01.02.2013,11. Silly,1,On The Job,1
1510,18.02.2013,Is This My Life,Park Slope,Life,Baritone Ukulele,Baritone Ukulele,,Pensive,Shadow,Folk,"Wistful, Delicate",Wistful,Delicate,,,181,Am,130,https://www.youtube.com/watch?v=ZfXcE_MYJEg,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-07,01.02.2013,04. Pensive,,NYC,
1511,19.02.2013,Pickles the Cat,Brooklyn Studio,Animals,"Organ, Electric Guitar, Percussion, Drum Machine",Organ,"Electric Guitar, Percussion, Drum Machine",Hopeful,Shadow,Rock,"Hopeful, Narrative, Good",Hopeful,"Narrative, Good",Cats,,209,E,85,https://www.youtube.com/watch?v=h1yON140MSU,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-07,01.02.2013,10. Hopeful,1,Brooklyn Studio,1
1512,20.02.2013,By Degrees,"Maui, HI",Poetic,Baritone Ukulele,Baritone Ukulele,,Pensive,Shadow,Folk,"Wistful, Delicate",Wistful,Delicate,,,233,Fm,146,https://www.youtube.com/watch?v=b-_Q_R7CxYA,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-07,01.02.2013,04. Pensive,,Family home,
1513,21.02.2013,"Death, Death, Death","Maui, HI",Grandma,Baritone Ukulele,Baritone Ukulele,,Sad,Shadow,Folk,"Wistful, Delicate, Heavy, Soulful",Wistful,"Delicate, Heavy, Soulful",Death,,240,E,138,https://www.youtube.com/watch?v=rmPeW2VrU7E,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-07,01.02.2013,00. Angry,-1,Family home,-1
1514,22.02.2013,Compassion,"Maui, HI",Love,Baritone Ukulele,Baritone Ukulele,,Chill,Shadow,Folk,"Wistful, Delicate, Heavy, Sick",Wistful,"Delicate, Heavy, Sick",,,202,A,84,https://www.youtube.com/watch?v=XytMzwX0_Ew,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-07,01.02.2013,09. Chill,,Family home,
1515,23.02.2013,Stress,"Maui, HI",Life,Baritone Ukulele,Baritone Ukulele,,Pensive,Shadow,Folk,"Soulful, Frustrated",Soulful,Frustrated,,,49,F#m,124,https://www.youtube.com/watch?v=bVMFYWJMw1M,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-07,01.02.2013,04. Pensive,,Family home,
1516,24.02.2013,When Your Grandma is Dying,"Maui, HI",Grandma,Baritone Ukulele,Baritone Ukulele,,Sad,Shadow,Folk,"Wistful, Delicate, Heavy, Soulful, Dissonnant",Wistful,"Delicate, Heavy, Soulful, Dissonnant",,,69,Am,130,https://www.youtube.com/watch?v=BJPJHq8NxrM,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-08,01.02.2013,00. Angry,-1,Family home,-1
1517,25.02.2013,My Grandmother's Ukulele,"Maui, HI",Grandma,Ukulele,Ukulele,,Sad,Shadow,Folk,"Delicate, Sick",Delicate,Sick,Ukulele,,53,Gm,118,https://www.youtube.com/watch?v=wI2C3RYQ04A,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-08,01.02.2013,00. Angry,-1,Family home,-1
1518,26.02.2013,Anderson Cooper's Eye Clevage,Brooklyn Studio,TV,"Electric Guitar, Synths, Drum Machine",Electric Guitar,"Synths, Drum Machine",Excited,Clean,Electro,"Fun, Funny, Anthem",Fun,"Funny, Anthem",,Anderson Cooper,96,F,93,https://www.youtube.com/watch?v=On6sj4Sv0Yo,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-08,01.02.2013,13. Excited,1,Brooklyn Studio,1
1519,27.02.2013,Life's a Precious Gift,"Maui, HI",Grandma,Baritone Ukulele,Baritone Ukulele,,Pensive,Shadow,Folk,"Wistful, Delicate, Heavy, Soulful",Wistful,"Delicate, Heavy, Soulful",,,148,E,93,https://www.youtube.com/watch?v=NHXIeyJIP-Q,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-08,01.02.2013,04. Pensive,,Family home,
1520,28.02.2013,Muzzzak,"Maui, HI",Airport,Baritone Ukulele,Baritone Ukulele,,Silly,Clean,Folk,"Fun, Life, Funny",Fun,"Life, Funny",Muzak,,78,D,138,https://www.youtube.com/watch?v=xySVRAwkaZM,"Background, Location, Mood, Topic, Instrument, Beard",2013-02,2013-08,01.02.2013,11. Silly,1,Family home,1
1521,01.03.2013,It's Impossible,Bushwick,Love,Ukulele,Ukulele,,Pensive,Shadow,Folk,"Delicate, Wistful, Soulful",Delicate,"Wistful, Soulful",,,192,F,128,https://www.youtube.com/watch?v=fCZ7M81YlvI,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-08,01.03.2013,04. Pensive,,NYC,
1522,02.03.2013,My Bubby is Dead,Bushwick,Grandma,Ukulele,Ukulele,,Tired,Shadow,Folk,"Delicate, Rambling, Sick",Delicate,"Rambling, Sick",,,138,Gm,72,https://www.youtube.com/watch?v=KEtAcfs2dpg,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-08,01.03.2013,06. Tired,,NYC,
1523,03.03.2013,I am Animal,Park Slope,Animals,Ukulele,Ukulele,,Silly,Shadow,Folk,Fun,Fun,,,,133,Ebm,120,https://www.youtube.com/watch?v=A2bWX8TBAYw,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-09,01.03.2013,11. Silly,1,NYC,1
1524,04.03.2013,The Student Debt Bubble,Brooklyn Studio,Politics,"Electric Guitar, Bass, Drums",Electric Guitar,"Bass, Drums",Silly,Clean,Rock,"Frustrated, Plea",Frustrated,Plea,,,31,C,95,https://www.youtube.com/watch?v=WIW0stR-Ugo,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-09,01.03.2013,11. Silly,1,Brooklyn Studio,1
1525,05.03.2013,Oh Little Anthropod,Brooklyn Studio,Animals,"Synths, Drum Machine",Synths,Drum Machine,Silly,Clean,Electro,"Fun, Funny, Rough, Weird",Fun,"Funny, Rough, Weird","Bug, Anthropod",,96,C,100,https://www.youtube.com/watch?v=QyxjMKvB9SA,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-09,01.03.2013,11. Silly,1,Brooklyn Studio,1
1526,06.03.2013,Prometheus Took,Brooklyn Studio,Poetic,"Acoustic Guitar, Electric Guitar, Bass, Drums",Acoustic Guitar,"Electric Guitar, Bass, Drums",Pensive,Shadow,Folk,"Wistful, Hard, Groovy, Anthem, Myth",Wistful,"Hard, Groovy, Anthem, Myth",,Prometheus ,217,D,140,https://www.youtube.com/watch?v=nvQrESeeaTs,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-09,01.03.2013,04. Pensive,,Brooklyn Studio,
1527,07.03.2013,"""I"" Apostrophe ""M""",Park Slope,Poetic,Baritone Ukulele,Baritone Ukulele,,Pensive,Shadow,Folk,"Wistful, Delicate, Personal",Wistful,"Delicate, Personal",,,83,Ab,80,https://www.youtube.com/watch?v=iO5doLkrM9k,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-09,01.03.2013,04. Pensive,,NYC,
1528,08.03.2013,One Small Step to Oh My God,Brooklyn Studio,Love,"Acoustic Guitar, Electric Guitar, Percussion, Bass, Drums",Acoustic Guitar,"Electric Guitar, Percussion, Bass, Drums",Hopeful,Clean,Rock,"Wistful, Delicate, Anthem",Wistful,"Delicate, Anthem",,,157,E,90,https://www.youtube.com/watch?v=1ox4K_zrN0A,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-09,01.03.2013,10. Hopeful,1,Brooklyn Studio,1
1529,09.03.2013,Feel It,Park Slope,Nerd,Baritone Ukulele,Baritone Ukulele,,Pensive,Shadow,Folk,"Wistful, Delicate, Personal, Love",Wistful,"Delicate, Personal, Love",,"Cyclops, LUkulele Skywalker",135,Ab,110,https://www.youtube.com/watch?v=JYaYwlFniik,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-09,01.03.2013,04. Pensive,,NYC,
1530,10.03.2013,What Would You Do If I Said I Was Tired?,Bushwick,Life,Ukulele,Ukulele,,Tired,Clean,Folk,"Delicate, Bouncy",Delicate,Bouncy,,,72,B,100,https://www.youtube.com/watch?v=Un3dHroyLXY,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-10,01.03.2013,06. Tired,,NYC,
1531,11.03.2013,"Choose Cloe Latchkey to Do the Pedalpalooza Poster, Please",Brooklyn Studio,Commission,"Electric Guitar, Bass, Drums",Electric Guitar,"Bass, Drums",Excited,Clean,Rock,"Fun, Funny",Fun,Funny,Bike,,74,E,100,https://www.youtube.com/watch?v=SUavWYfWpgI,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-10,01.03.2013,13. Excited,1,Brooklyn Studio,1
1532,12.03.2013,I Have to Be Nice,Brooklyn Studio,Poetic,"Electric Guitar, Bass, Drums",Electric Guitar,"Bass, Drums",Intense,Clean,Rock,"Wistful, Delicate",Wistful,Delicate,,,104,B,117,https://www.youtube.com/watch?v=y73migQ59Yg,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-10,01.03.2013,07. Intense,,Brooklyn Studio,
1533,13.03.2013,Google Poetry Song,Brooklyn Studio,Internet,"Electric Guitar, Piano, Bass, Drums",Electric Guitar,"Piano, Bass, Drums",Intense,Clean,Rock,"Groovy, Soulful",Groovy,Soulful,,Google,160,G,114,https://www.youtube.com/watch?v=8sFYe-aEQOw,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-10,01.03.2013,07. Intense,,Brooklyn Studio,
1534,14.03.2013,The New Pope Looks Like...,Brooklyn Studio,Internet,"Electric Guitar, Bass, Drums",Electric Guitar,"Bass, Drums",Silly,Clean,Rock,"Hopeful, Funny",Hopeful,Funny,,"Pope, Grumpy Cat",65,D,70,https://www.youtube.com/watch?v=TZizfng5Ti0,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-10,01.03.2013,11. Silly,1,Brooklyn Studio,1
1535,15.03.2013,Trains Make Me Pee,"Avon, CT",Life,Acoustic Guitar,Acoustic Guitar,,Tired,Shadow,Folk,"Wistful, Delicate, Funny",Wistful,"Delicate, Funny",,,58,C,89,https://www.youtube.com/watch?v=IuUcJK6HqLA,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-10,01.03.2013,06. Tired,,Family home,
1536,16.03.2013,Common Sense,"Avon, CT",Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Shadow,Folk,"Dark, Delicate, Driving",Dark,"Delicate, Driving",,,62,A,105,https://www.youtube.com/watch?v=qIBj9D3yu48,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-10,01.03.2013,04. Pensive,,Family home,
1537,17.03.2013,A Song I Made Up While Running Up a Hill,"Avon, CT",Life,Vocals,Vocals,,Excited,Shadow,Acapella,"Dark, Funny",Dark,Funny,,,211,B,80,https://www.youtube.com/watch?v=SO1Sfr7Ssg0,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-11,01.03.2013,13. Excited,1,Family home,1
1538,18.03.2013,I Want to Live on Mars,"Avon, CT",Nerd,Baritone Ukulele,Baritone Ukulele,,Pensive,Clean,Folk,"Narrative, Dark, Funny",Narrative,"Dark, Funny",,Mars,136,A,96,https://www.youtube.com/watch?v=8smOIT_Z8Ps,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-11,01.03.2013,04. Pensive,,Family home,
1539,19.03.2013,The Feeling God,Brooklyn Studio,Poetic,"Acoustic Guitar, Electric Guitar, Bass, Drums",Acoustic Guitar,"Electric Guitar, Bass, Drums",Pensive,Shadow,Rock,"Narrative, Dark, Myth, Driving",Narrative,"Dark, Myth, Driving",,,245,G,80,https://www.youtube.com/watch?v=v1XsDjTMZJM,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-11,01.03.2013,04. Pensive,,Brooklyn Studio,
1540,20.03.2013,NOPE,Bushwick,Life,Ukulele,Ukulele,,Tired,Clean,Folk,"Delicate, Funny",Delicate,Funny,,,24,C,82,https://www.youtube.com/watch?v=bcsQ9Te5szY,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-11,01.03.2013,06. Tired,,NYC,
1541,21.03.2013,"Big, Big Stuff",Brooklyn Studio,Love,"Ukulele, Banjo, Electric Guitar, Bass, Drums",Ukulele,"Banjo, Electric Guitar, Bass, Drums",Pensive,Clean,Rock,"Driving, Hoepful",Driving,Hoepful,,,192,G,80,https://www.youtube.com/watch?v=g4bEhr956Ow,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-11,01.03.2013,04. Pensive,,Brooklyn Studio,
1542,22.03.2013,I Love/Hate You Penelope Trunk,Brooklyn Studio,Internet,"Acoustic Guitar, Electric Guitar, Bass, Drums",Acoustic Guitar,"Electric Guitar, Bass, Drums",Intense,Clean,Rock,"Funny, Life, Heavy, Driving",Funny,"Life, Heavy, Driving",,Penelope Trunk,138,E,130,https://www.youtube.com/watch?v=_0wLm3N4ZHA,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-11,01.03.2013,07. Intense,,Brooklyn Studio,
1543,23.03.2013,Hey! You Found a Boat!,Brooklyn Studio,Love,"Acoustic Guitar, Banjo,  Electric Guitar, Bass, Drums",Acoustic Guitar,"Banjo,  Electric Guitar, Bass, Drums",Happy,Shadow,Folk,"Driving, Hoepful, Fun, ",Driving,"Hoepful, Fun, ",,,192,G,95,https://www.youtube.com/watch?v=Wb2R3R4HXpA,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-11,01.03.2013,12. Happy,1,Brooklyn Studio,1
1544,24.03.2013,Impossible,Brooklyn Studio,Love,"Synths, Drum Machine",Synths,Drum Machine,Intense,Clean,Electro,"Driving, Hopeful, Melody, Anthem",Driving,"Hopeful, Melody, Anthem",,,214,F,130,https://www.youtube.com/watch?v=jTaiu7ux_rg,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-12,01.03.2013,07. Intense,,Brooklyn Studio,
1545,25.03.2013,George Bush's Paintings,Brooklyn Studio,Politics,"Bass, Electric Guitar, Percussion, Drums",Bass,"Electric Guitar, Percussion, Drums",Excited,Clean,Rock,"Driving, Groovy, Anthem, Funny",Driving,"Groovy, Anthem, Funny",,,106,E,128,https://www.youtube.com/watch?v=QvYXpIm_Uxo,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-12,01.03.2013,13. Excited,1,Brooklyn Studio,1
1546,26.03.2013,ATP Ending Theme,Brooklyn Studio,Podcast,"Piano, Electric Guitar, Bass, Banjo, Drums",Piano,"Electric Guitar, Bass, Banjo, Drums",Excited,Clean,Rock,"Light, Fun",Light,Fun,Theme Song,"John Siracus, Marco Arment, Casey Liss",68,D,90,https://www.youtube.com/watch?v=iCXItGrjqrw,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-12,01.03.2013,13. Excited,1,Brooklyn Studio,1
1547,27.03.2013,Call It Ours,Bushwick,Love,Ukulele,Ukulele,,Intense,Shadow,Folk,"Wistful, Delicate, Looming",Wistful,"Delicate, Looming",,,263,G,100,https://www.youtube.com/watch?v=c924jJgQXg0,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-12,01.03.2013,07. Intense,,NYC,
1548,28.03.2013,You Are My Prime Directive,Bushwick,Love,Ukulele,Ukulele,,Pensive,Shadow,Folk,"Wistful, Delicate, Dreamy",Wistful,"Delicate, Dreamy",,,139,A,130,https://www.youtube.com/watch?v=LwtxQyS8kC8,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-12,01.03.2013,04. Pensive,,NYC,
1549,29.03.2013,Pie and Posies,Bushwick,Poetic,Ukulele,Ukulele,,Pensive,Shadow,Folk,"Narrative, Meldoy, Deliate, Dreamy",Narrative,"Meldoy, Deliate, Dreamy",,,171,G,100,https://www.youtube.com/watch?v=6uSPOTmZqpA,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-12,01.03.2013,04. Pensive,,NYC,
1550,30.03.2013,Pandoras Box Had Nothing in It,Bushwick,Poetic,Ukulele,Ukulele,,Intense,Shadow,Folk,"Narrative, Rambling, Driving",Narrative,"Rambling, Driving",,,53,E,110,https://www.youtube.com/watch?v=XNUBp6XV1L0,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-12,01.03.2013,07. Intense,,NYC,
1551,31.03.2013,Look into My Heart (ElectroRedux),Brooklyn Studio,Breakup,"Synths, Drum Machine",Synths,Drum Machine,Intense,Clean,Electro,"Dark, Driving, Hard, Personal",Dark,"Driving, Hard, Personal",,,256,Am,90,https://www.youtube.com/watch?v=ODtn0B5BPKQ,"Background, Location, Mood, Topic, Instrument, Beard",2013-03,2013-13,01.03.2013,07. Intense,,Brooklyn Studio,
1552,01.04.2013,Bioshock Infinite Song,Brooklyn Studio,Video Games,"Banjo, Ukulele, Bass, Percussion, Drums",Banjo,"Ukulele, Bass, Percussion, Drums",Pensive,Clean,Folk,"Anthem, Traditional",Anthem,Traditional,,Bioshock Infinite,202,G,96,https://www.youtube.com/watch?v=8yTlz4FxOJw,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-13,01.04.2013,04. Pensive,,Brooklyn Studio,
1553,02.04.2013,Kim Jong Un Doing Things,Brooklyn Studio,Politics,"Synths, Drum Machine",Synths,Drum Machine,Silly,Clean,Electro,"Anthem, Funny",Anthem,Funny,,Kim Jong Un,137,C,100,https://www.youtube.com/watch?v=7zDN5QeBgug,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-13,01.04.2013,11. Silly,1,Brooklyn Studio,1
1554,03.04.2013,Famous Actors With No Teeth,Brooklyn Studio,Pop Culture,"Synths, Drum Machine",Synths,Drum Machine,Silly,Clean,Electro,"Anthem, Funny",Anthem,Funny,,,57,Gm,83,https://www.youtube.com/watch?v=phmr6dGdbJE,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-13,01.04.2013,11. Silly,1,Brooklyn Studio,1
1555,04.04.2013,Particles,Bushwick,Poetic,Ukulele,Ukulele,,Silly,Shadow,Folk,"Anthem, Funny, Fun",Anthem,"Funny, Fun",,,48,C,87,https://www.youtube.com/watch?v=TJh5lUMAjIg,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-13,01.04.2013,11. Silly,1,NYC,1
1556,05.04.2013,"You Better Lie Down, Kid",Park Slope,Poetic,Baritone Ukulele,Baritone Ukulele,,Pensive,Shadow,Folk,"Rough, Rambling",Rough,Rambling,,,207,Fm,90,https://www.youtube.com/watch?v=YM7Mb4Epp1M,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-13,01.04.2013,04. Pensive,,NYC,
1557,06.04.2013,How Does the World Work?,Los Angeles,Poetic,Baritone Ukulele,Baritone Ukulele,,Chill,Shadow,Folk,"Rambling, Delicate",Rambling,Delicate,,,32,F#m,80,https://www.youtube.com/watch?v=UBouYiyNmSA,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-13,01.04.2013,09. Chill,,In-laws place,
1558,07.04.2013,LA Only at NIght,Los Angeles,Poetic,Guitalele,Guitalele,,Chill,Shadow,Folk,"Rambling, Driving, Looming, Soulful",Rambling,"Driving, Looming, Soulful",,,125,Ab,130,https://www.youtube.com/watch?v=ZDKecZkVtFA,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-14,01.04.2013,09. Chill,,In-laws place,
1559,08.04.2013,They Don't Have Internetat the Hotel,Los Angeles,Song A Day,Baritone Ukulele,Baritone Ukulele,,Chill,Shadow,Folk,Funny,Funny,,,,11,A,84,https://www.youtube.com/watch?v=EznaVASFzkk,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-14,01.04.2013,09. Chill,,In-laws place,
1560,09.04.2013,Time for Another Airport Song,Los Angeles,Airport,Baritone Ukulele,Baritone Ukulele,,Chill,Clean,Folk,"Delicate, Rambling",Delicate,Rambling,My Birthday,,81,Ab,80,https://www.youtube.com/watch?v=BBL8xdQ0cDY,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-14,01.04.2013,09. Chill,,In-laws place,
1561,10.04.2013,Thank You for Wishing Me a Happy Birthday on My FaceBook Page,Brooklyn Studio,Life,"Synths, Drum Machine",Synths,Drum Machine,Silly,Clean,Electro,"Driving, Funny",Driving,Funny,Birthday,FaceBook,188,C,85,https://www.youtube.com/watch?v=FosOlkrXnqc,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-14,01.04.2013,11. Silly,1,Brooklyn Studio,1
1562,11.04.2013,The Future is Your Free Will,Bushwick,Poetic,Ukulele,Ukulele,,Pensive,Shadow,Folk,"Rambling, Delicate, Rough",Rambling,"Delicate, Rough",,,134, ,88,https://www.youtube.com/watch?v=SoJHdxFjou4,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-14,01.04.2013,04. Pensive,,NYC,
1563,12.04.2013,Make Nice,Brooklyn Studio,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Intense,Clean,Electro,"Wistful, Dark, Driving, Rambling",Wistful,"Dark, Driving, Rambling",,,201,G,106,https://www.youtube.com/watch?v=NzWn9RSqgOQ,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-14,01.04.2013,07. Intense,,Brooklyn Studio,
1564,13.04.2013,Scottland Theme Song,Brooklyn Studio,Internet,"Synths, Banjo, Drum Machine",Synths,"Banjo, Drum Machine",Silly,Shadow,Electro,"Dark, Heavy, Funny",Dark,"Heavy, Funny",Commissison ,Zack Scott,133,C,90,https://www.youtube.com/watch?v=A6ofnhOh84Y,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-14,01.04.2013,11. Silly,1,Brooklyn Studio,1
1565,14.04.2013,A Dispatch From Outerspace,Park Slope,Nerd,Ukulele,Ukulele,,Pensive,Shadow,Folk,"Wistful, Rambling, Rough",Wistful,"Rambling, Rough",,,97,A,90,https://www.youtube.com/watch?v=avE2dNJTsbE,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-15,01.04.2013,04. Pensive,,NYC,
1566,15.04.2013,I am Not What I Seem,Brooklyn Studio,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Intense,Clean,Electro,"Dark, Heavy, Driving, Rough",Dark,"Heavy, Driving, Rough",,,128,B,97,https://www.youtube.com/watch?v=4sp0VJf1Nj4,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-15,01.04.2013,07. Intense,,Brooklyn Studio,
1567,16.04.2013,No Rest for the Weary,Brooklyn Studio,Poetic,"Acoustic Guitar, Bass, Drums",Acoustic Guitar,"Bass, Drums",Pensive,Shadow,Folk,"Dark, Heavy, Rough, Soulful",Dark,"Heavy, Rough, Soulful",,,208,A,80,https://www.youtube.com/watch?v=bYNqPA6Hmlg,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-15,01.04.2013,04. Pensive,,Brooklyn Studio,
1568,17.04.2013,Spring Has Finally Come!,Bushwick,Weather,Ukulele,Ukulele,,Pensive,Shadow,Folk,"Delicate, Rambling",Delicate,Rambling,,,178,C,93,https://www.youtube.com/watch?v=kQsc8rxVSbw,"Background, Location, Mood, Topic, Instrument, Beard",2013-04,2013-15,01.04.2013,04. Pensive,,NYC,
